Interaction Energy (eV) based on different positions during vertical rotation around z axis
C60 pentagone-down orientation
rotation Degree     point 1             point 2             point 3             point 4             point 5
  188.0000         -0.62297154         -0.62386995         -0.62640196         -0.62791161         -0.61508595 
  189.0000         -0.62281903         -0.62402861         -0.62641153         -0.62791041         -0.61501116 
  190.0000         -0.62261693         -0.62420270         -0.62644173         -0.62790896         -0.61498528 
  191.0000         -0.62246702         -0.62437110         -0.62651326         -0.62795153         -0.61503321 
  192.0000         -0.62232534         -0.62452701         -0.62653100         -0.62797374         -0.61505558 
  193.0000         -0.62209975         -0.62461524         -0.62649421         -0.62793555         -0.61500724 
  194.0000         -0.62189564         -0.62471434         -0.62651732         -0.62790220         -0.61494848 
  195.0000         -0.62171042         -0.62477001         -0.62655687         -0.62792849         -0.61496885 
  196.0000         -0.62145113         -0.62479667         -0.62657341         -0.62791472         -0.61498417 
  197.0000         -0.62117411         -0.62477834         -0.62655583         -0.62793602         -0.61502997 
  198.0000         -0.62103508         -0.62472594         -0.62650989         -0.62793380         -0.61501671 
  199.0000         -0.62079677         -0.62475780         -0.62656938         -0.62796723         -0.61501416 
  200.0000         -0.62060991         -0.62469563         -0.62659010         -0.62796691         -0.61498757 
  201.0000         -0.62042660         -0.62469829         -0.62667602         -0.62794202         -0.61492727 
  202.0000         -0.62019905         -0.62462232         -0.62667871         -0.62793654         -0.61491177 
  203.0000         -0.62003257         -0.62451357         -0.62665760         -0.62796055         -0.61492637 
  204.0000         -0.61984515         -0.62438622         -0.62670573         -0.62798389         -0.61497116 
  205.0000         -0.61963270         -0.62424174         -0.62670820         -0.62799093         -0.61492646 
  206.0000         -0.61944161         -0.62401579         -0.62666524         -0.62797723         -0.61492191 
  207.0000         -0.61927371         -0.62381947         -0.62664774         -0.62796762         -0.61489301 
  208.0000         -0.61908554         -0.62365435         -0.62664948         -0.62798176         -0.61495415 
  209.0000         -0.61894273         -0.62348126         -0.62668449         -0.62800088         -0.61499197 
  210.0000         -0.61881170         -0.62326683         -0.62669363         -0.62795626         -0.61497636 
  211.0000         -0.61868376         -0.62307242         -0.62671690         -0.62800088         -0.61499196 
  212.0000         -0.61860473         -0.62283025         -0.62671935         -0.62798175         -0.61495414 
  213.0000         -0.61846086         -0.62261610         -0.62673000         -0.62796761         -0.61489298 
  214.0000         -0.61834800         -0.62237297         -0.62673501         -0.62797722         -0.61492187 
  215.0000         -0.61833001         -0.62214200         -0.62672334         -0.62799091         -0.61492642 
  216.0000         -0.61835698         -0.62186417         -0.62666501         -0.62798387         -0.61497111 
  217.0000         -0.61834983         -0.62165176         -0.62672472         -0.62796053         -0.61492631 
  218.0000         -0.61838781         -0.62145618         -0.62675741         -0.62793652         -0.61491171 
  219.0000         -0.61847609         -0.62125505         -0.62675370         -0.62794200         -0.61492720 
  220.0000         -0.61859505         -0.62108476         -0.62678908         -0.62796688         -0.61498750 
  221.0000         -0.61870356         -0.62082778         -0.62676303         -0.62796719         -0.61501409 
  222.0000         -0.61888060         -0.62062999         -0.62675547         -0.62793376         -0.61501663 
  223.0000         -0.61895616         -0.62042787         -0.62673698         -0.62793598         -0.61502989 
  224.0000         -0.61912719         -0.62024272         -0.62673675         -0.62791468         -0.61498408 
  225.0000         -0.61930841         -0.62011046         -0.62673986         -0.62792845         -0.61496876 
  226.0000         -0.61950345         -0.61999820         -0.62677699         -0.62790216         -0.61494839 
  227.0000         -0.61967125         -0.61989727         -0.62682415         -0.62793551         -0.61500714 
  228.0000         -0.61987982         -0.61979809         -0.62682054         -0.62797370         -0.61505548 
  229.0000         -0.62006761         -0.61969657         -0.62678577         -0.62795149         -0.61503312 
  230.0000         -0.62024859         -0.61958295         -0.62678001         -0.62790892         -0.61498519 
  231.0000         -0.62046521         -0.61948896         -0.62677479         -0.62791037         -0.61501106 
  232.0000         -0.62066649         -0.61942546         -0.62677019         -0.62791157         -0.61508586 
  233.0000         -0.62084081         -0.61939189         -0.62674086         -0.62795795         -0.61511092 
