Interaction Energy (eV) based on different positions during vertical rotation around z axis
C60 hexagone-down orientation
rotation Degree     point 1             point 2             point 3             point 4             point 5
  157.0000         -0.64441824         -0.64516839         -0.64795692         -0.64944858         -0.64105879 
  158.0000         -0.64440144         -0.64518995         -0.64804848         -0.64944921         -0.64084104 
  159.0000         -0.64433047         -0.64511049         -0.64813138         -0.64946926         -0.64063920 
  160.0000         -0.64424499         -0.64509364         -0.64818944         -0.64953331         -0.64040073 
  161.0000         -0.64417027         -0.64508417         -0.64827697         -0.64970969         -0.64022290 
  162.0000         -0.64405736         -0.64502443         -0.64834347         -0.64980014         -0.63999918 
  163.0000         -0.64400621         -0.64504903         -0.64847325         -0.64992739         -0.63972156 
  164.0000         -0.64393799         -0.64503415         -0.64861983         -0.65000987         -0.63949256 
  165.0000         -0.64379984         -0.64502951         -0.64870241         -0.65017012         -0.63931927 
  166.0000         -0.64373673         -0.64504028         -0.64880432         -0.65013001         -0.63907305 
  167.0000         -0.64362502         -0.64499707         -0.64880636         -0.65017078         -0.63876977 
  168.0000         -0.64355086         -0.64492559         -0.64887162         -0.65027278         -0.63855229 
  169.0000         -0.64349931         -0.64487507         -0.64892385         -0.65031085         -0.63825263 
  170.0000         -0.64345014         -0.64484074         -0.64897672         -0.65042762         -0.63795909 
  171.0000         -0.64342968         -0.64478807         -0.64902562         -0.65037931         -0.63768374 
  172.0000         -0.64336403         -0.64481230         -0.64908884         -0.65045288         -0.63747894 
  173.0000         -0.64332938         -0.64479986         -0.64912647         -0.65051943         -0.63731862 
  174.0000         -0.64332612         -0.64478573         -0.64917749         -0.65046385         -0.63713013 
  175.0000         -0.64327038         -0.64472953         -0.64916587         -0.65053822         -0.63700405 
  176.0000         -0.64328620         -0.64472085         -0.64919113         -0.65061294         -0.63694693 
  177.0000         -0.64325381         -0.64472009         -0.64923246         -0.65063303         -0.63684617 
  178.0000         -0.64327884         -0.64473257         -0.64924049         -0.65054973         -0.63666848 
  179.0000         -0.64330697         -0.64473772         -0.64923945         -0.65048056         -0.63653344 
  180.0000         -0.64332785         -0.64476593         -0.64928392         -0.65044456         -0.63649505 
  181.0000         -0.64330697         -0.64475848         -0.64923945         -0.65049186         -0.63653344 
  182.0000         -0.64327884         -0.64472027         -0.64924049         -0.65054337         -0.63666848 
  183.0000         -0.64325381         -0.64476471         -0.64923246         -0.65057501         -0.63684617 
  184.0000         -0.64328620         -0.64480694         -0.64919113         -0.65045952         -0.63694693 
  185.0000         -0.64327038         -0.64487140         -0.64916587         -0.65030979         -0.63700405 
  186.0000         -0.64332612         -0.64490861         -0.64917749         -0.65018645         -0.63713013 
  187.0000         -0.64332938         -0.64492824         -0.64912647         -0.65009572         -0.63731862 
  188.0000         -0.64336403         -0.64493510         -0.64908884         -0.65005267         -0.63747894 
  189.0000         -0.64342968         -0.64494440         -0.64902562         -0.64993919         -0.63768374 
  190.0000         -0.64345014         -0.64503019         -0.64897672         -0.64991372         -0.63795909 
  191.0000         -0.64349931         -0.64505825         -0.64892385         -0.64978929         -0.63825263 
  192.0000         -0.64355086         -0.64511743         -0.64887162         -0.64966101         -0.63855229 
  193.0000         -0.64362502         -0.64515797         -0.64880636         -0.64950060         -0.63876977 
  194.0000         -0.64373673         -0.64521418         -0.64880431         -0.64939471         -0.63907305 
  195.0000         -0.64379984         -0.64524582         -0.64870241         -0.64922396         -0.63931927 
  196.0000         -0.64393798         -0.64527216         -0.64861983         -0.64904958         -0.63949255 
  197.0000         -0.64400620         -0.64531228         -0.64847325         -0.64886603         -0.63972156 
  198.0000         -0.64405735         -0.64529677         -0.64834347         -0.64870531         -0.63999918 
  199.0000         -0.64417027         -0.64538500         -0.64827696         -0.64857858         -0.64022290 
  200.0000         -0.64424499         -0.64542671         -0.64818944         -0.64844342         -0.64040073 
  201.0000         -0.64433047         -0.64548177         -0.64813138         -0.64837537         -0.64063919 
  202.0000         -0.64440144         -0.64553959         -0.64804848         -0.64826551         -0.64084104 
  203.0000         -0.64441824         -0.64557039         -0.64795691         -0.64821794         -0.64105879 
  204.0000         -0.64447904         -0.64556834         -0.64790715         -0.64819977         -0.64128132 
  205.0000         -0.64458806         -0.64558249         -0.64789882         -0.64808716         -0.64136686 
  206.0000         -0.64458084         -0.64559746         -0.64780871         -0.64802491         -0.64151193 
  207.0000         -0.64461549         -0.64559909         -0.64775727         -0.64796427         -0.64160683 
  208.0000         -0.64463161         -0.64564147         -0.64774960         -0.64795104         -0.64170477 
  209.0000         -0.64463447         -0.64563995         -0.64776508         -0.64793068         -0.64174664 
  210.0000         -0.64467852         -0.64563949         -0.64779001         -0.64785471         -0.64179094 
  211.0000         -0.64466499         -0.64562487         -0.64775024         -0.64793068         -0.64174664 
  212.0000         -0.64465366         -0.64566597         -0.64775969         -0.64795104         -0.64170477 
  213.0000         -0.64459511         -0.64560858         -0.64775751         -0.64796427         -0.64160683 
  214.0000         -0.64456845         -0.64561663         -0.64781399         -0.64802491         -0.64151193 
  215.0000         -0.64454883         -0.64559149         -0.64788935         -0.64808717         -0.64136686 
  216.0000         -0.64449264         -0.64559687         -0.64790780         -0.64819977         -0.64128132 
  217.0000         -0.64445978         -0.64559841         -0.64795281         -0.64821794         -0.64105879 
  218.0000         -0.64437600         -0.64556709         -0.64803965         -0.64826551         -0.64084104 
  219.0000         -0.64431142         -0.64550843         -0.64812768         -0.64837040         -0.64063920 
  220.0000         -0.64428739         -0.64550210         -0.64821079         -0.64844343         -0.64040073 
  221.0000         -0.64425920         -0.64541955         -0.64828358         -0.64857858         -0.64022290 
  222.0000         -0.64415788         -0.64536481         -0.64838023         -0.64870531         -0.63999918 
  223.0000         -0.64416356         -0.64536888         -0.64846071         -0.64886603         -0.63972156 
  224.0000         -0.64407885         -0.64533684         -0.64860749         -0.64904958         -0.63949256 
  225.0000         -0.64398872         -0.64529849         -0.64870023         -0.64922396         -0.63931927 
  226.0000         -0.64389336         -0.64528945         -0.64880242         -0.64939471         -0.63907305 
  227.0000         -0.64382869         -0.64523067         -0.64881983         -0.64950060         -0.63876978 
  228.0000         -0.64378103         -0.64516722         -0.64885567         -0.64966101         -0.63855229 
  229.0000         -0.64370035         -0.64512458         -0.64891324         -0.64978929         -0.63825263 
  230.0000         -0.64357268         -0.64510297         -0.64899631         -0.64991372         -0.63795909 
  231.0000         -0.64351359         -0.64505302         -0.64906052         -0.64993919         -0.63768374 
  232.0000         -0.64343933         -0.64501457         -0.64909944         -0.65005267         -0.63747894 
  233.0000         -0.64337577         -0.64500807         -0.64915731         -0.65009572         -0.63731862 
  234.0000         -0.64330840         -0.64497846         -0.64918390         -0.65018645         -0.63713014 
  235.0000         -0.64325731         -0.64495076         -0.64916772         -0.65030979         -0.63700405 
  236.0000         -0.64323321         -0.64488044         -0.64919830         -0.65045952         -0.63694693 
  237.0000         -0.64318094         -0.64482722         -0.64924014         -0.65057501         -0.63684617 
  238.0000         -0.64319572         -0.64479619         -0.64924861         -0.65054337         -0.63666848 
  239.0000         -0.64318356         -0.64484243         -0.64926783         -0.65049186         -0.63653344 
  240.0000         -0.64312906         -0.64483297         -0.64932281         -0.65044456         -0.63649505 
  241.0000         -0.64317666         -0.64481228         -0.64925902         -0.65048056         -0.63653344 
  242.0000         -0.64316705         -0.64479445         -0.64924566         -0.65054973         -0.63666848 
  243.0000         -0.64317513         -0.64475912         -0.64922818         -0.65063303         -0.63684617 
  244.0000         -0.64324032         -0.64477155         -0.64920218         -0.65061294         -0.63694693 
  245.0000         -0.64325764         -0.64477677         -0.64918746         -0.65053822         -0.63700405 
  246.0000         -0.64329194         -0.64482444         -0.64918471         -0.65046385         -0.63713014 
  247.0000         -0.64336754         -0.64485950         -0.64915393         -0.65051942         -0.63731862 
  248.0000         -0.64342961         -0.64486796         -0.64910184         -0.65045288         -0.63747894 
  249.0000         -0.64351732         -0.64483963         -0.64905398         -0.65037931         -0.63768374 
  250.0000         -0.64357020         -0.64488823         -0.64900569         -0.65042762         -0.63795909 
  251.0000         -0.64368679         -0.64491347         -0.64893834         -0.65031084         -0.63825263 
  252.0000         -0.64376163         -0.64497976         -0.64889655         -0.65027277         -0.63855229 
  253.0000         -0.64380863         -0.64500742         -0.64883174         -0.65017078         -0.63876977 
  254.0000         -0.64388273         -0.64505144         -0.64880516         -0.65013001         -0.63907305 
