    time (ps)       MSD(A2) @ 35K       MSD(A2) @ 50K       MSD(A2) @ 60K       MSD(A2) @ 75K       MSD(A2) @ 100K     MSD(A2) @ 150K        
  109.2000       3148.56069086       1303.30893892       1119.88020897        644.73529346        328.50745558        206.65771327 
  109.4000       3157.49477728       1306.40521557       1123.12009153        646.56740687        329.15449861        207.01018936 
  109.6000       3166.44289056       1309.56317807       1126.35634911        648.42858991        329.78744177        207.35831123 
  109.8000       3175.42945720       1312.77046401       1129.59508131        650.28989133        330.40408482        207.70208300 
  110.0000       3184.38877671       1316.02151974       1132.88772961        652.15159670        330.99684340        208.03682059 
  110.2000       3193.43597919       1319.23234720       1136.17168142        654.01513912        331.58510219        208.36985950 
  110.4000       3202.57511239       1322.40138982       1139.46685683        655.90170581        332.16536687        208.69434697 
  110.6000       3211.74606495       1325.53126749       1142.78402466        657.80550124        332.73602225        209.01829526 
  110.8000       3220.99941186       1328.65950783       1146.11003083        659.70924551        333.32008692        209.32942337 
  111.0000       3230.24306283       1331.73546022       1149.44017288        661.60353816        333.90525019        209.62309087 
  111.2000       3239.46855167       1334.79682952       1152.77706274        663.48579317        334.49003950        209.90870520 
  111.4000       3248.65623260       1337.85581143       1156.11902372        665.34587982        335.08596925        210.17976726 
  111.6000       3257.85960860       1340.90189885       1159.46795907        667.22471883        335.69975517        210.43859759 
  111.8000       3267.03383704       1343.94243731       1162.82484380        669.09525086        336.32121014        210.67152463 
  112.0000       3276.21733217       1346.92541812       1166.21134648        670.98900513        336.94983320        210.88853741 
  112.2000       3285.47452876       1349.91707673       1169.64537738        672.89047007        337.59358213        211.09516551 
  112.4000       3294.86332636       1352.91132083       1173.11292973        674.82295348        338.24794918        211.28832962 
  112.6000       3304.31160424       1355.94009755       1176.57741665        676.78630330        338.91470328        211.47027300 
  112.8000       3313.76672088       1358.96392524       1180.06107070        678.77430525        339.58179545        211.64644010 
  113.0000       3323.22785461       1361.99496912       1183.58337356        680.77685551        340.25261192        211.80780395 
  113.2000       3332.65626128       1364.98564639       1187.09156526        682.78194585        340.91742797        211.96478954 
  113.4000       3342.03930091       1367.97892816       1190.57472691        684.76738130        341.55850579        212.12227751 
  113.6000       3351.41157563       1370.98706588       1193.99878866        686.73852187        342.18887749        212.26515735 
  113.8000       3360.68090707       1373.99716106       1197.36410160        688.71277438        342.80109718        212.40686743 
  114.0000       3369.91431255       1377.00112741       1200.73175911        690.70184049        343.39030952        212.54389105 
  114.2000       3379.16809125       1380.03145318       1204.08432201        692.69432994        343.93819354        212.68836368 
  114.4000       3388.43272941       1383.09680311       1207.40952650        694.69485385        344.46273459        212.84295680 
  114.6000       3397.74310540       1386.14777842       1210.71577014        696.70534979        344.98045675        213.00272325 
  114.8000       3407.01378115       1389.17118553       1213.97695524        698.72056621        345.49240040        213.16464620 
  115.0000       3416.21755843       1392.16996805       1217.22063973        700.74116007        346.00372645        213.31973694 
  115.2000       3425.46161245       1395.16775582       1220.43064719        702.80452672        346.52699755        213.48241323 
  115.4000       3434.78266123       1398.15657721       1223.62852574        704.91935377        347.05064859        213.64962454 
  115.6000       3444.14264733       1401.09438539       1226.83823136        707.07248488        347.55065595        213.82252831 
  115.8000       3453.54870071       1404.00061419       1230.10036751        709.24086442        348.01697360        213.99750498 
  116.0000       3463.06045238       1406.89391731       1233.44619922        711.39492039        348.45627465        214.18918865 
  116.2000       3472.62656471       1409.73730130       1236.83658408        713.53740029        348.84273198        214.39227719 
