   log t (ps)      log MSD(A2)@ 5 K     log MSD(A2)@ 10 K   log MSD(A2)@ 20 K   log MSD(A2)@ 30 K   log MSD(A2)@ 60 K   log MSD(A2)@ 100 K  log MSD(A2)@ 300 K  log MSD(A2)@ 500 K    
    1.3304          2.77617227          2.50000024          1.97883459          1.69533001          1.24352223          0.91688673          0.48522602          0.03908156 
    1.3345          2.78417276          2.50796431          1.98636751          1.70257383          1.24956210          0.92085771          0.48995761          0.04148846 
    1.3385          2.79206571          2.51589957          1.99386979          1.70977086          1.25564280          0.92471603          0.49447399          0.04415791 
    1.3424          2.79986019          2.52376147          2.00137009          1.71690927          1.26177968          0.92859324          0.49884672          0.04695439 
    1.3464          2.80758788          2.53151899          2.00873557          1.72397872          1.26796702          0.93243394          0.50313033          0.04997013 
    1.3502          2.81527115          2.53917696          2.01599592          1.73098616          1.27427823          0.93624993          0.50729123          0.05311799 
    1.3541          2.82285308          2.54676511          2.02316213          1.73792171          1.28066529          0.94011079          0.51123816          0.05654487 
    1.3579          2.83034267          2.55428471          2.03027254          1.74480286          1.28708113          0.94408418          0.51505542          0.06019402 
    1.3617          2.83777043          2.56169886          2.03732273          1.75165187          1.29347886          0.94812305          0.51873858          0.06407374 
    1.3655          2.84511252          2.56900924          2.04430964          1.75849882          1.29989278          0.95228783          0.52227582          0.06808584 
    1.3692          2.85242163          2.57620782          2.05125125          1.76535977          1.30630506          0.95657479          0.52569505          0.07225207 
    1.3729          2.85968909          2.58328692          2.05815214          1.77224742          1.31262487          0.96084951          0.52911784          0.07645852 
    1.3766          2.86685190          2.59026082          2.06500174          1.77907848          1.31886402          0.96512199          0.53253032          0.08078833 
    1.3802          2.87395138          2.59715980          2.07179959          1.78582953          1.32501728          0.96939899          0.53587586          0.08508877 
    1.3838          2.88098693          2.60401665          2.07852166          1.79245144          1.33111072          0.97366450          0.53920167          0.08931334 
    1.3874          2.88795634          2.61084553          2.08516277          1.79895354          1.33710832          0.97790536          0.54248608          0.09346508 
    1.3909          2.89480718          2.61758965          2.09173364          1.80534323          1.34299492          0.98213277          0.54586367          0.09751931 
    1.3945          2.90158739          2.62425617          2.09819645          1.81162603          1.34869651          0.98627063          0.54934446          0.10149960 
    1.3979          2.90834044          2.63086856          2.10454752          1.81777895          1.35425554          0.99034217          0.55287579          0.10531028 
    1.4014          2.91503905          2.63744177          2.11083207          1.82380105          1.35964932          0.99428533          0.55645638          0.10896569 
    1.4048          2.92170112          2.64398356          2.11700037          1.82972089          1.36486767          0.99817708          0.56006761          0.11247573 
    1.4082          2.92830408          2.65049045          2.12309453          1.83555003          1.36991792          1.00202407          0.56367013          0.11581784 
    1.4116          2.93483433          2.65694268          2.12909702          1.84126902          1.37480343          1.00577061          0.56722293          0.11905717 
    1.4150          2.94127837          2.66335398          2.13500877          1.84689064          1.37956233          1.00945560          0.57066723          0.12210300 
    1.4183          2.94764738          2.66969506          2.14082940          1.85243885          1.38418017          1.01317874          0.57400762          0.12497254 
    1.4216          2.95398580          2.67599690          2.14655496          1.85795064          1.38870564          1.01694313          0.57717543          0.12764759 
    1.4249          2.96025559          2.68227461          2.15223759          1.86344617          1.39314667          1.02072633          0.58023232          0.13018657 
    1.4281          2.96643858          2.68846768          2.15784564          1.86895772          1.39755192          1.02458577          0.58327742          0.13262203 
    1.4314          2.97255251          2.69461101          2.16341917          1.87443694          1.40193568          1.02856345          0.58633838          0.13498884 
    1.4346          2.97861808          2.70073514          2.16896353          1.87992793          1.40628938          1.03259101          0.58929235          0.13726601 
    1.4378          2.98456600          2.70680928          2.17448081          1.88542205          1.41056573          1.03668730          0.59221413          0.13949850 
    1.4409          2.99045873          2.71283845          2.17995164          1.89090637          1.41480416          1.04090061          0.59510193          0.14178760 
    1.4440          2.99625297          2.71883117          2.18538088          1.89632757          1.41905441          1.04522761          0.59794753          0.14407102 
    1.4472          3.00198742          2.72475186          2.19074926          1.90171383          1.42329692          1.04969383          0.60075462          0.14632529 
    1.4502          3.00768042          2.73059371          2.19604850          1.90705281          1.42753988          1.05433003          0.60353549          0.14863205 
    1.4533          3.01333602          2.73636809          2.20127507          1.91235959          1.43178652          1.05899153          0.60633663          0.15095779 
    1.4564          3.01897603          2.74209337          2.20642418          1.91771338          1.43605399          1.06372324          0.60920050          0.15335795 
    1.4594          3.02454945          2.74777022          2.21155913          1.92305627          1.44031036          1.06851370          0.61208922          0.15581516 
    1.4624          3.03006852          2.75340034          2.21666597          1.92838478          1.44456003          1.07325002          0.61486888          0.15833122 
    1.4654          3.03554618          2.75900447          2.22175570          1.93368552          1.44882774          1.07797194          0.61759146          0.16091925 
    1.4683          3.04099182          2.76459008          2.22681944          1.93893924          1.45308355          1.08266041          0.62026402          0.16348108 
    1.4713          3.04642303          2.77015985          2.23190192          1.94413931          1.45737013          1.08733201          0.62286550          0.16605119 
    1.4742          3.05179498          2.77572537          2.23697110          1.94925043          1.46165076          1.09193913          0.62536448          0.16863223 
    1.4771          3.05710711          2.78130653          2.24198778          1.95424355          1.46593696          1.09647849          0.62782761          0.17123101 
    1.4800          3.06237480          2.78683384          2.24698227          1.95916192          1.47025529          1.10096992          0.63021971          0.17365021 
    1.4829          3.06761739          2.79228941          2.25192409          1.96401444          1.47459702          1.10540213          0.63257732          0.17602633 
    1.4857          3.07279715          2.79768568          2.25683686          1.96882863          1.47890460          1.10982450          0.63486557          0.17827708 
    1.4886          3.07791663          2.80306094          2.26175547          1.97356520          1.48317670          1.11417247          0.63707240          0.18036480 
    1.4914          3.08299309          2.80845231          2.26668643          1.97823432          1.48740164          1.11842126          0.63915113          0.18230906 
    1.4942          3.08805347          2.81382407          2.27160598          1.98281219          1.49151755          1.12254418          0.64115820          0.18408885 
    1.4969          3.09310561          2.81914346          2.27647318          1.98730763          1.49559333          1.12652040          0.64305525          0.18572856 
    1.4997          3.09815883          2.82442809          2.28125964          1.99171618          1.49958838          1.13035499          0.64486420          0.18724335 
    1.5024          3.10319158          2.82967708          2.28595054          1.99605029          1.50348224          1.13411524          0.64660161          0.18862143 
    1.5051          3.10816110          2.83488885          2.29056158          2.00032477          1.50732431          1.13776997          0.64833892          0.18983517 
    1.5079          3.11309473          2.84008699          2.29510744          2.00456886          1.51106276          1.14137382          0.65004145          0.19097272 
    1.5105          3.11800576          2.84525107          2.29960466          2.00880055          1.51475300          1.14490593          0.65176591          0.19209151 
    1.5132          3.12288186          2.85039628          2.30406101          2.01301899          1.51837050          1.14837497          0.65349680          0.19322533 
    1.5159          3.12773263          2.85552608          2.30844972          2.01726083          1.52194453          1.15182682          0.65516109          0.19436746 
    1.5185          3.13253620          2.86065184          2.31279679          2.02150680          1.52547673          1.15522362          0.65679094          0.19554705 
    1.5211          3.13729156          2.86575931          2.31707268          2.02573935          1.52899754          1.15857590          0.65826253          0.19676751 
    1.5237          3.14199601          2.87081621          2.32131015          2.02992679          1.53251566          1.16192402          0.65961937          0.19790625 
    1.5263          3.14670670          2.87582927          2.32556142          2.03409752          1.53606750          1.16530165          0.66098632          0.19907101 
    1.5289          3.15140778          2.88084533          2.32975728          2.03828616          1.53967958          1.16868763          0.66232885          0.20035723 
