    time (ps)       MSD(A2) @ 1K        MSD(A2) @ 5K        MSD(A2) @ 10K        MSD(A2) @ 20K        MSD(A2) @ 30K        MSD(A2) @ 35K        
   38.6000         57.33520471         42.45628245         17.65669433          5.17120877          1.59959956          0.03307953 
   38.8000         57.62932354         42.76250991         17.77611718          5.21102668          1.59625087          0.03516046 
   39.0000         57.91973359         43.07310750         17.89495734          5.25352080          1.59258501          0.03725226 
   39.2000         58.21084192         43.38746939         18.01499329          5.29755827          1.58882062          0.03934118 
   39.4000         58.50398275         43.70533514         18.13756507          5.34414344          1.58499770          0.04141268 
   39.6000         58.79014004         44.03100828         18.26275736          5.39265953          1.58137147          0.04341239 
   39.8000         59.07422268         44.36163772         18.38932489          5.44263290          1.57787044          0.04534332 
   40.0000         59.35331245         44.70405329         18.51724115          5.49448773          1.57465772          0.04717925 
   40.2000         59.62378437         45.05552161         18.64603931          5.54746002          1.57183377          0.04893354 
   40.4000         59.89039304         45.41582239         18.77444915          5.60110913          1.56905222          0.05060310 
   40.6000         60.15741009         45.78763106         18.90386916          5.65520810          1.56637713          0.05220177 
   40.8000         60.42334238         46.16385389         19.03369444          5.70962673          1.56428770          0.05373182 
   41.0000         60.68230535         46.54406172         19.16382752          5.76452142          1.56225046          0.05517536 
   41.2000         60.94035127         46.93556647         19.28974481          5.81964476          1.55984777          0.05650945 
   41.4000         61.19416237         47.33290048         19.41456045          5.87429804          1.55734711          0.05771931 
   41.6000         61.44342145         47.73489027         19.53848083          5.92947687          1.55453565          0.05883326 
   41.8000         61.69057952         48.13883828         19.66218328          5.98537282          1.55163799          0.05982957 
   42.0000         61.93824483         48.54156548         19.78756551          6.04202212          1.54856089          0.06070255 
   42.2000         62.18549274         48.94561919         19.91599846          6.09856332          1.54481842          0.06147515 
   42.4000         62.43098317         49.35082800         20.04658705          6.15512462          1.54066113          0.06213029 
   42.6000         62.67114623         49.75374235         20.17966667          6.21256630          1.53601913          0.06266047 
   42.8000         62.91115675         50.15677123         20.31458093          6.27073892          1.53116215          0.06305977 
   43.0000         63.14851496         50.55791768         20.45111118          6.32930551          1.52639465          0.06332328 
   43.2000         63.38635352         50.95941896         20.59008333          6.38702299          1.52184954          0.06342958 
   43.4000         63.62429216         51.35310378         20.73157763          6.44179408          1.51771888          0.06338945 
   43.6000         63.86097998         51.73987643         20.87605046          6.49312768          1.51429045          0.06323137 
   43.8000         64.09519106         52.12214253         21.01990833          6.54120127          1.51172452          0.06290207 
   44.0000         64.32931878         52.50162070         21.16036031          6.58544826          1.51007586          0.06239507 
   44.2000         64.56138510         52.87942110         21.29757192          6.62557040          1.50912727          0.06174062 
   44.4000         64.80361091         53.25894126         21.43113841          6.66125665          1.50916332          0.06096746 
   44.6000         65.05194250         53.63675689         21.56264266          6.69254110          1.51024797          0.06007586 
   44.8000         65.30570510         54.01693777         21.69032422          6.71952909          1.51262485          0.05906635 
   45.0000         65.56135259         54.40506474         21.81452049          6.74363705          1.51611847          0.05795315 
   45.2000         65.81651346         54.80391112         21.93859071          6.76458950          1.52024657          0.05673367 
   45.4000         66.07692139         55.21361630         22.06156263          6.78206443          1.52542060          0.05543218 
   45.6000         66.34385395         55.62844795         22.18294341          6.79740927          1.53134968          0.05405011 
   45.8000         66.61079962         56.04548843         22.30130368          6.81073988          1.53794629          0.05259183 
   46.0000         66.87613689         56.47448028         22.41802179          6.82317566          1.54509114          0.05109032 
   46.2000         67.14374917         56.91528726         22.53541562          6.83465361          1.55244668          0.04952984 
   46.4000         67.41623968         57.36239442         22.65292060          6.84669282          1.55954495          0.04789215 
   46.6000         67.68602118         57.81995177         22.77000701          6.85995461          1.56658072          0.04623441 
   46.8000         67.94720579         58.28395591         22.88867835          6.87480379          1.57385028          0.04455970 
   47.0000         68.21041041         58.75679937         23.00762970          6.89163777          1.58110313          0.04288833 
   47.2000         68.47208621         59.23367771         23.12619038          6.91054510          1.58825610          0.04120323 
   47.4000         68.73613057         59.70866561         23.24478315          6.93027427          1.59565363          0.03949702 
   47.6000         68.99961432         60.18614920         23.36444292          6.95159322          1.60309018          0.03777519 
   47.8000         69.26655536         60.66717442         23.48303002          6.97410345          1.61074856          0.03602956 
   48.0000         69.54017743         61.15081241         23.60297752          6.99740455          1.61822135          0.03425890 
   48.2000         69.81799330         61.63220285         23.72012634          7.02315801          1.62576758          0.03247825 
   48.4000         70.09814033         62.11044809         23.83198985          7.04993633          1.63349827          0.03068924 
