    time (ps)       MSD(A2) @ 150K      MSD(A2) @ 200K      MSD(A2) @ 250K      MSD(A2) @ 300K      MSD(A2) @ 400K      MSD(A2) @ 500K        
   38.4000       1787.68947017       1400.35804927        976.23732853        813.38590025        622.12616571        501.64370995 
   38.6000       1804.92848596       1414.79773990        986.35267036        821.59112485        628.20654007        506.36582509 
   38.8000       1822.51875646       1429.27010530        996.64111754        829.87840551        634.28709694        511.09231980 
   39.0000       1840.08136205       1443.83618779       1007.06769754        838.20179666        640.37775996        515.81874256 
   39.2000       1857.68659337       1458.64747739       1017.55950044        846.54161722        646.52032896        520.58859679 
   39.4000       1875.40355371       1473.58898747       1028.10305020        854.96587850        652.73827422        525.36356234 
   39.6000       1893.20777583       1488.55925721       1038.59930070        863.48292443        658.99660009        530.15667184 
   39.8000       1911.22445177       1503.54639892       1049.14285139        872.13277280        665.28660321        534.97312250 
   40.0000       1929.43550905       1518.63921599       1059.78379217        880.83427978        671.58924700        539.81730902 
   40.2000       1947.82064884       1533.71409427       1070.51569864        889.52782180        677.91375272        544.70613529 
   40.4000       1966.34657962       1548.91655880       1081.30793591        898.19925601        684.25129951        549.65324793 
   40.6000       1984.85205942       1564.18015102       1092.18273568        906.88238265        690.59687180        554.60094466 
   40.8000       2003.46648353       1579.47899809       1103.09609415        915.52218411        697.05193070        559.54251957 
   41.0000       2022.11538832       1594.79879302       1113.99876353        924.12457507        703.54752746        564.51885017 
   41.2000       2040.80079781       1610.25501403       1124.93061647        932.79926626        710.08147763        569.53266786 
   41.4000       2059.62177746       1625.82109273       1135.96796765        941.55555728        716.60777851        574.61997391 
   41.6000       2078.69435105       1641.44531169       1147.12826286        950.32547258        723.10299520        579.73446516 
   41.8000       2097.89079046       1657.00868702       1158.33662870        959.11145116        729.57483783        584.84825840 
   42.0000       2117.13549315       1672.51075916       1169.56376732        967.93768714        736.04701304        589.94170736 
   42.2000       2136.29723704       1688.09043217       1180.85573838        976.87587427        742.50855608        595.04030278 
   42.4000       2155.39345244       1703.64570037       1192.17886187        985.84284439        749.00186121        600.14677380 
   42.6000       2174.55379423       1719.29021684       1203.53773899        994.76209549        755.53180266        605.24746264 
   42.8000       2193.76040523       1734.93591454       1215.00034817       1003.66721340        762.07498018        610.34481425 
   43.0000       2212.93566858       1750.60808282       1226.50947933       1012.54845906        768.59603440        615.48787785 
   43.2000       2232.03050326       1766.37565918       1238.04678562       1021.38852739        775.12326885        620.68933173 
   43.4000       2251.22698915       1782.30286031       1249.57843543       1030.17440947        781.65904294        625.95112288 
   43.6000       2270.55730637       1798.33881214       1261.10898573       1039.02956120        788.21669477        631.24515613 
   43.8000       2289.88047013       1814.45547251       1272.71141323       1047.91239609        794.80357907        636.54525970 
   44.0000       2309.27312890       1830.60327079       1284.33730996       1056.79491874        801.43524213        641.82938951 
   44.2000       2328.69939278       1846.89679395       1296.00314808       1065.79023074        808.07253921        647.09450358 
   44.4000       2348.19175018       1863.25908867       1307.62672797       1074.88834935        814.72224643        652.34626782 
   44.6000       2367.72306103       1879.63342826       1319.28737724       1084.09145861        821.38706957        657.61327604 
   44.8000       2387.23635585       1896.04756787       1330.96406397       1093.41540800        828.12061116        662.92311923 
   45.0000       2406.75717066       1912.51125038       1342.78044391       1102.82995315        834.88235821        668.27820202 
   45.2000       2426.32393614       1929.11366096       1354.62878852       1112.24854242        841.60386058        673.67805717 
   45.4000       2445.89935960       1945.67282658       1366.49093851       1121.70221282        848.38960008        679.12057654 
   45.6000       2465.46783744       1962.22408156       1378.32883455       1131.16956357        855.22204599        684.55660874 
   45.8000       2485.19442420       1978.87326695       1390.20646303       1140.69162590        862.06680843        689.99578097 
   46.0000       2504.92300246       1995.70570938       1402.20480712       1150.23869738        868.91198232        695.40182269 
   46.2000       2524.70195002       2012.54205830       1414.26788440       1159.79625801        875.83515447        700.76532099 
   46.4000       2544.65871510       2029.44614009       1426.33908309       1169.42789068        882.74687715        706.11300213 
   46.6000       2564.67821245       2046.29411284       1438.40426725       1179.08862698        889.66432791        711.42682480 
   46.8000       2584.72397884       2063.13170498       1450.43171742       1188.80511688        896.61606232        716.75681273 
   47.0000       2604.94891492       2079.96604465       1462.44879327       1198.54969526        903.59780544        722.12775640 
   47.2000       2625.28213501       2096.85883059       1474.46568928       1208.40403258        910.59068571        727.55799627 
   47.4000       2645.64742144       2113.96223773       1486.48868257       1218.34969536        917.67546570        733.02365173 
   47.6000       2665.84139710       2131.24760379       1498.59229419       1228.38904115        924.83286402        738.49616221 
   47.8000       2686.22117122       2148.63355786       1510.79966425       1238.51168364        932.10233010        743.98348174 
   48.0000       2706.85149799       2165.98459502       1523.10192942       1248.73465732        939.42078434        749.50184034 
   48.2000       2727.78970659       2183.38665489       1535.48412625       1259.00634448        946.79768455        755.07775600 
   48.4000       2748.84590659       2200.93323639       1548.02169660       1269.35983820        954.23515460        760.68793894 
   48.6000       2770.00727145       2218.56299146       1560.68539450       1279.75765021        961.69540670        766.28907690 
   48.8000       2791.25844908       2236.36006894       1573.33227290       1290.22338206        969.19147507        771.87210252 
   49.0000       2812.26183688       2254.23396572       1585.88929005       1300.76208548        976.75437875        777.52215683 
   49.2000       2833.28845234       2272.14724243       1598.47903590       1311.33216225        984.34401549        783.23877435 
   49.4000       2854.59768540       2290.09860209       1611.10926914       1321.92665352        991.95733126        789.01380780 
   49.6000       2876.20203181       2308.08864130       1623.83176598       1332.57183734        999.55934465        794.83655782 
   49.8000       2897.96939580       2326.08798572       1636.78787398       1343.26181973       1007.23911663        800.70793073 
   50.0000       2919.75089226       2344.11225196       1649.76593061       1353.92137284       1014.97937115        806.58994555 
   50.2000       2941.48767489       2362.09823983       1662.67049075       1364.64468764       1022.77477208        812.49876516 
   50.4000       2963.35504896       2380.03732817       1675.60099756       1375.43516969       1030.60722361        818.45859282 
   50.6000       2985.23811839       2398.08582530       1688.51719766       1386.32171632       1038.44535108        824.43551234 
   50.8000       3007.17257128       2416.21361255       1701.38100079       1397.22950182       1046.25640123        830.43776298 
   51.0000       3029.12762614       2434.40126745       1714.22543157       1408.19043466       1054.00558310        836.46709335 
   51.2000       3051.27068231       2452.59907094       1727.06768660       1419.19739094       1061.78438453        842.52512958 
   51.4000       3073.42959370       2470.75379468       1740.04181411       1430.19494262       1069.54820439        848.60057926 
   51.6000       3095.67619428       2488.88406483       1753.22430831       1441.20234237       1077.35287031        854.72103823 
   51.8000       3118.12752707       2507.13752745       1766.49638691       1452.15802311       1085.16353999        860.90786041 
   52.0000       3140.67536435       2525.50082218       1779.82259366       1463.06765976       1093.00899167        867.14221144 
   52.2000       3163.25849993       2543.90412849       1793.08486790       1473.92528709       1100.90565710        873.43109108 
   52.4000       3185.90085956       2562.35104197       1806.35245118       1484.77701927       1108.87217066        879.72855763 
   52.6000       3208.63168769       2580.90067670       1819.67395715       1495.62305330       1116.90382947        886.02182504 
   52.8000       3231.39748238       2599.52123790       1833.04013662       1506.44276366       1124.90223365        892.32163503 
   53.0000       3254.05801987       2618.16782595       1846.42470531       1517.22461787       1132.90119949        898.63729724 
   53.2000       3276.68399237       2636.87304305       1859.80796913       1527.93453118       1140.94220141        904.95820382 
   53.4000       3299.54068976       2655.54430440       1873.31358996       1538.64476552       1148.95627585        911.26117902 
   53.6000       3322.51361856       2674.26077500       1886.97287552       1549.43310776       1156.90006163        917.55994411 
   53.8000       3345.41321599       2693.07811301       1900.83325157       1560.26770597       1164.81188020        923.87008799 
   54.0000       3368.36599473       2711.95641622       1914.72810115       1571.19294192       1172.76528758        930.24230268 
   54.2000       3391.35358209       2730.93632077       1928.65088754       1582.21765260       1180.71248698        936.61937603 
   54.4000       3414.42220501       2750.05505614       1942.54010920       1593.25771122       1188.63142812        943.02626217 
   54.6000       3437.59309840       2769.33657285       1956.37874983       1604.34718733       1196.54424051        949.41368730 
   54.8000       3460.79445737       2788.61209639       1970.18768911       1615.43862316       1204.41684709        955.75706615 
   55.0000       3484.15274689       2808.06229107       1984.00732826       1626.56213401       1212.28304661        962.09025498 
   55.2000       3507.76014336       2827.61570362       1997.85880438       1637.79452609       1220.19567435        968.46194315 
   55.4000       3531.47943853       2847.28251792       2011.70566865       1649.08379228       1228.22830977        974.85083177 
   55.6000       3555.19834395       2867.07097405       2025.59982588       1660.38606119       1236.38744807        981.25819971 
   55.8000       3578.88599304       2887.06803591       2039.48661463       1671.81197502       1244.60968002        987.68904918 
   56.0000       3602.71066291       2907.19834903       2053.44356510       1683.27656923       1252.87470811        994.12146641 
   56.2000       3626.71113610       2927.72923694       2067.45321693       1694.76263667       1261.18956106       1000.54073148 
   56.4000       3650.58972642       2948.57888731       2081.43127323       1706.38175264       1269.54518188       1006.97106710 
   56.6000       3674.46915323       2969.52321090       2095.34618641       1717.99347767       1277.92654859       1013.39121941 
   56.8000       3698.39248672       2990.57270834       2109.15249416       1729.51165247       1286.33645358       1019.83710491 
   57.0000       3722.30340730       3011.58597766       2123.03840562       1740.99191409       1294.74226043       1026.26778192 
   57.2000       3746.17105261       3032.60202049       2136.94468802       1752.43325401       1303.17246469       1032.72450586 
