#Graphite3layer & C60 12*12 Data file for LAMMPS

		11428  atoms

		3  atom types

		
		-60.1741		60.1739 	xlo xhi
		-61.4477		61.9203 	ylo yhi
		-60 			60	 	zlo zhi

Masses

		1     12.011   # Grapgite	(Nose_Hoover)
		2     12.011   # Graphene	(Nose_Hoover)		
		3     12.011   # C60		(Nose_Hoover)

Atoms

 304 1 5.52619 -54.3567 -3.35001
 305 1 7.98219 -57.1927 -3.35001
 306 1 6.75419 -56.4837 -3.35001
 307 1 6.75419 -55.0657 -3.35001
 308 1 7.98219 -54.3567 -3.35001
 309 1 10.4382 -57.1927 -3.35001
 310 1 9.21019 -56.4837 -3.35001
 311 1 9.21019 -55.0657 -3.35001
 312 1 10.4382 -54.3567 -3.35001
 313 1 12.8943 -57.1927 -3.35001
 314 1 11.6663 -56.4837 -3.35001
 315 1 11.6663 -55.0657 -3.35001
 316 1 12.8943 -54.3567 -3.35001
 317 1 15.3503 -57.1927 -3.35001
 318 1 14.1223 -56.4837 -3.35001
 319 1 14.1223 -55.0657 -3.35001
 320 1 15.3503 -54.3567 -3.35001
 321 1 17.8064 -57.1927 -3.35001
 322 1 16.5784 -56.4837 -3.35001
 323 1 16.5784 -55.0657 -3.35001
 324 1 17.8064 -54.3567 -3.35001
 325 1 20.2624 -57.1927 -3.35001
 326 1 19.0344 -56.4837 -3.35001
 327 1 19.0344 -55.0657 -3.35001
 328 1 20.2624 -54.3567 -3.35001
 329 1 22.7185 -57.1927 -3.35001
 330 1 21.4905 -56.4837 -3.35001
 331 1 21.4905 -55.0657 -3.35001
 332 1 22.7185 -54.3567 -3.35001
 333 1 25.1745 -57.1927 -3.35001
 334 1 23.9465 -56.4837 -3.35001
 335 1 23.9465 -55.0657 -3.35001
 336 1 25.1745 -54.3567 -3.35001
 337 1 27.6306 -57.1927 -3.35001
 338 1 26.4026 -56.4837 -3.35001
 339 1 26.4026 -55.0657 -3.35001
 340 1 27.6306 -54.3567 -3.35001
 341 1 30.0866 -57.1927 -3.35001
 342 1 28.8586 -56.4837 -3.35001
 343 1 28.8586 -55.0657 -3.35001
 344 1 30.0866 -54.3567 -3.35001
 345 1 32.5427 -57.1927 -3.35001
 346 1 31.3147 -56.4837 -3.35001
 347 1 31.3147 -55.0657 -3.35001
 348 1 32.5427 -54.3567 -3.35001
 349 1 34.9987 -57.1927 -3.35001
 350 1 33.7707 -56.4837 -3.35001
 351 1 33.7707 -55.0657 -3.35001
 352 1 34.9987 -54.3567 -3.35001
 353 1 37.4548 -57.1927 -3.35001
 354 1 36.2267 -56.4837 -3.35001
 355 1 36.2267 -55.0657 -3.35001
 356 1 37.4548 -54.3567 -3.35001
 357 1 39.9108 -57.1927 -3.35001
 358 1 38.6828 -56.4837 -3.35001
 359 1 38.6828 -55.0657 -3.35001
 360 1 39.9108 -54.3567 -3.35001
 361 1 42.3669 -57.1927 -3.35001
 362 1 41.1388 -56.4837 -3.35001
 363 1 41.1388 -55.0657 -3.35001
 364 1 42.3669 -54.3567 -3.35001
 365 1 44.8229 -57.1927 -3.35001
 366 1 43.5949 -56.4837 -3.35001
 367 1 43.5949 -55.0657 -3.35001
 368 1 44.8229 -54.3567 -3.35001
 369 1 47.2789 -57.1927 -3.35001
 370 1 46.0509 -56.4837 -3.35001
 371 1 46.0509 -55.0657 -3.35001
 372 1 47.2789 -54.3567 -3.35001
 373 1 49.7349 -57.1927 -3.35001
 374 1 48.5069 -56.4837 -3.35001
 375 1 48.5069 -55.0657 -3.35001
 376 1 49.7349 -54.3567 -3.35001
 377 1 52.1909 -57.1927 -3.35001
 378 1 50.9629 -56.4837 -3.35001
 379 1 50.9629 -55.0657 -3.35001
 380 1 52.1909 -54.3567 -3.35001
 381 1 54.6469 -57.1927 -3.35001
 382 1 53.4189 -56.4837 -3.35001
